"","kingdom","phylum","class","order"
"4",0.214860879760978,0.169852705255841,0.209583232361578,0.182575779445377
"5",0.255216683799245,0.232345927247219,0.256840882115552,0.218200223505473
"6",0.248741025587877,0.240267752015291,0.259192584833821,0.217182250665659
"7",0.219476480188167,0.227996011873624,0.245200076062078,0.202587356654179
"8",0.187446498583983,0.210803465793782,0.228007944464739,0.187514760453987
"9",0.161092473319283,0.196236489103398,0.213392585360912,0.175699782716792
"10",0.139160626018334,0.179617928475284,0.198111438042028,0.163550654056594
"11",0.121843033851401,0.164463853898904,0.18435714388853,0.14980965537948
"12",0.108063257778442,0.150041141511998,0.171551791761312,0.137295213566128
"13",0.0964526649937962,0.137345008950478,0.160413837930645,0.125997177971395
"14",0.0863584769712913,0.126360607963814,0.150125538345314,0.115901821133427
"15",0.0778890985251754,0.116493871193185,0.140435269852264,0.106955297678118
