mtry ntrees accuracy micro-precision macro-precision micro-recall macro-recall micro-fmeasure macro-fmeasure hamming-loss subset-accuracy average_precision one_error coverage ranking_loss
17 300 0.957568291050678 0.977631418465667 0.970582053845676 0.978992622990864 0.882026936868088 0.978311547239818 0.894807689130464 0.000304820730417026 0.896787734988137 0.954569921289051 0.00146012045993794 20.8205876984851 0.021984147332896
17 300 0.956856482326459 0.977137007336632 0.969433678616921 0.979261321999121 0.887318732507445 0.978198011346306 0.897574808989009 0.00030653609749872 0.895510129585691 0.953553879090709 0.000912575287461216 21.1040335827706 0.0218760232200384
17 300 0.960013992821074 0.979295712822514 0.970257522832502 0.980922370413796 0.879193430375977 0.980108366689446 0.890641738391361 0.000279604834316124 0.901441868954189 0.957021451881676 0.000547545172476729 19.8274320131411 0.0201521677715229
17 300 0.957267141205816 0.978157946114799 0.970679256845432 0.979065904538571 0.874093020743322 0.9786117147252 0.8884017246673 0.000300532312712791 0.895510129585691 0.954339755493062 0.000912575287461216 21.0601387114437 0.0218562994250739
17 300 0.958074770335219 0.978143142898961 0.968874033408035 0.979481166642239 0.882449304403367 0.978811697505248 0.89462852259743 0.000297787725382081 0.898430370505567 0.954804535596407 0.000638802701222851 20.5909837561599 0.0213988737457646
17 300 0.957870961854353 0.977362996174371 0.970874676651222 0.979774292833065 0.873238811356226 0.978567159081206 0.886864441439219 0.000301389996253638 0.898247855448075 0.95474375250921 0.000821317758715094 20.2047818945063 0.021174514115416
17 300 0.959043621098741 0.978752988242182 0.975883780974285 0.980091846206459 0.881907890632128 0.979421959673876 0.895384198948594 0.000289210889973611 0.901624384011681 0.956270838175084 0.000730060229968972 20.3622011315934 0.0209779223777113
17 300 0.958130393971788 0.978215261514442 0.972686113097444 0.979505593824808 0.870692826370044 0.978860002441108 0.884528298159915 0.000297101578549403 0.897244022631867 0.955082486367231 0.000638802701222851 20.7586238364665 0.0214517038006183
17 300 0.955703595546633 0.977451315339938 0.967581708549455 0.978406370609214 0.873980212487614 0.9779286097954 0.887515342901094 0.000310138368370278 0.893046176309546 0.952568748749224 0.00100383281620734 21.8369227961307 0.0229001155746448
17 300 0.956734805621464 0.976887068461088 0.965860617207064 0.978748351165177 0.875790664529028 0.97781682407204 0.889001826735835 0.000311853735451972 0.893046176309546 0.953225866391247 0.000547545172476729 21.0841394415039 0.0220517086725692
